article name,article link,article text,article date
Before the caucuses, O'Malley aides signaled that the Iowa results would determine whether he would plow forward. When Iowans gathered for the caucuses Monday night, they showed little appetite for his candidacy.

At a West Des Moines church, nearly 300 people crammed into a room that was set up to hold about half as many caucusgoers. Only five supported Mr. O'Malley; three were undecided. As the numbers were read aloud, an O'Malley supporter yelled out, ""We beat undecided!""

Write to Peter Nicholas at peter.nicholas@wsj.com and Natalie Andrews at Natalie.Andrews@wsj.com

Credit: By Peter Nicholas and Natalie Andrews",2/2/16

"Clinton, Sanders Locked in Tight Race for Delegates; Clinton campaign says it's well positioned; Sanders vows to press on",http://ezproxy.library.nyu.edu:2048/login?url=http://search.proquest.com/docview/1761596195?accountid=12768,"Battling for the Democratic presidential nomination, Hillary Clinton and Bernie Sanders were locked in a tight race for Iowa's delegates and the momentum that comes with a win in the nation's first contest.

Mrs. Clinton maintained a narrow lead through much of the night, but with 93% of precincts reporting, her advantage was just 49.8% of the delegates versus 49.6% for Mr. Sanders, according to tabulations from the Iowa Democratic Party.

Election 2016

* Voters' Desire for Change Hints at Lingering Unease

* Iowans Entertain Radical Messages Amid Seeming Prosperity

* Why Democratic Lawmakers Hope Cruz or Trump Win GOP Race

*

Interview With Jane Sanders: Bernie's Words Are Backed by 'Real Plans'

""It is rare that we have the opportunity we do now: to have a real contest of ideas, to really think hard about what the Democratic Party stands for,"" Mrs. Clinton told supporters in Des Moines late Monday night, ahead of the announcement of final results. She didn't declare victory but thanked the people of Iowa and said she was ""breathing a big sigh of relief.""

Corrections & Amplifications: The Democratic race in Iowa remains too close to call. An earlier version of this article prematurely named Hillary Clinton a winner. (Feb. 2, 2016)

Credit: By Laura Meckler, Peter Nicholas and Colleen McCain Nelson",2/2/16

Hillary Clinton and Bernie Sanders Take Off Gloves Going Into Iowa Vote; Latest polls show two Democratic candidates locked in tight race,http://ezproxy.library.nyu.edu:2048/login?url=http://search.proquest.com/docview/1761568161?accountid=12768,"DES MOINES, Iowa--Iowa voters were set to decide Monday between upstart liberal Bernie Sanders and Democratic establishment-favorite Hillary Clinton in the state's caucuses, kicking off the presidential primary season with what was expected to be a nail-biter of a race.

Mr. Sanders has drawn large, energetic crowds for his brand of ""democratic socialism,"" which includes proposals to create a government-run, single-payer health-care system , increase taxes on the rich, break up big banks and make public colleges tuition free. He is hoping the enthusiastic turnouts at his rallies translate into big turnouts at the caucuses, and that he can leverage a win here to victories in the contests that follow, and ultimately the nomination.

Mrs. Clinton, for her part, has highlighted her perseverance and qualifications for the presidency, including four years as secretary of state, along with what she describes as achievable but important policy objectives. She has also pitched herself as the logical successor to President Barack Obama and the most electable Democrat in November's general election, while highlighting the potential for voters to make history in electing the first female president.

Polls show Mrs. Clinton and Mr. Sanders are locked in a tight race. A Des Moines Register/Bloomberg Politics Iowa Poll released Saturday showed Mrs. Clinton edging ahead of the Vermont senator, 45% to 42%. A third contender, former Maryland Gov. Martin O'Malley, has 3% support in the poll.

""It's a tie ballgame, that's where we are,"" Mr. Sanders said Monday . ""We will win tonight if the turnout is high. We will struggle tonight if the turnout is low. That's a fact.""

Mr. Sanders, closing out his campaign in Iowa, took a strategic gamble in hopes of notching a victory: He went negative. His campaign ran a new TV spot that implies Mrs. Clinton is in the pocket of Wall Street, a criticism he has made of her repeatedly. And after refusing to talk about the Democratic front-runner's use of a private email server as secretary of state , Mr. Sanders on Sunday called her email practices a ""very serious issue"" that could render her unelectable.

Similarly, a Clinton campaign that had once ignored the 74-year-old democratic socialist is now casting him as a pie-in-the-sky dreamer whose ideas are utterly impractical.

""I don't want to over-promise and under-deliver. I'd rather under-promise and over-deliver,"" she said at an Iowa rally. She added: ""I know what it's going to take.""

Mrs. Clinton is also looking to put the ghosts of 2008 behind her, when she placed third and then-Sen. Obama won--and went on to win the Democratic nomination. This time around, Mrs. Clinton has seen Mr. Sanders cut into her once-yawning lead, and he currently runs ahead of her in New Hampshire, the next contest after Iowa.

Mrs. Clinton has campaigned with her husband, former President Bill Clinton, and daughter, Chelsea Clinton, during the final days leading up to the Iowa caucuses, collectively offering a nostalgia-tinged closing argument for Mrs. Clinton.

Election 2016

* Iowans Entertain Radical Messages Amid Seeming Prosperity

* Trump, Cruz Lead Pack Going Into Unpredictable Iowa Caucus

* Why Democratic Lawmakers Hope Cruz or Trump Win GOP Race

* Jeb Bush to Iowa: Pick Me, Not 'a Big Blowhard'

Mr. Sanders is making the case that Mrs. Clinton is beholden to Wall Street. Speaking to reporters at a Bloomberg Politics breakfast last week, he mentioned that she had just attended a fundraising event at a Philadelphia investment firm.

The combative posture poses risks for Mr. Sanders--something his team acknowledges. He has pledged to usher in a more uplifting style of politics. He has said he would inspire voters and thus expand turnout on Election Day much as Mr. Obama did eight years earlier.

Recognizing the potential damage to the Sanders brand, his aides say there are lines he won't cross: He won't air the classic political attack ad complete with ominous music and unflattering pictures of Mrs. Clinton.

""He's not going to go there; it's not in the cards,"" said Tad Devine, a senior Sanders campaign strategist.

So, instead, some of Mr. Sanders's ads left it to voters to connect the dots. The latest spot features Goldman Sachs Group Inc. and its role in the 2008 financial collapse. No pictures of Mrs. Clinton's face appear in the ad; her name is never mentioned. Yet she is the star.

Mrs. Clinton and her husband have a long history of dealings with Goldman. Together, they have collected nearly $3 million in speaking fees from the company since 2005.

Write to Peter Nicholas at peter.nicholas@wsj.com and Laura Meckler at laura.meckler@wsj.com

Credit: By Peter Nicholas and Laura Meckler",2/2/16

"Sanders's New Weapon: Going Negative Against Clinton; Vermont senator, seeking Iowa victory over Hillary Clinton, runs a negative ad and knocks her email practices",http://ezproxy.library.nyu.edu:2048/login?url=http://search.proquest.com/docview/1761359244?accountid=12768,"COUNCIL BLUFFS, Iowa.--Sen. Bernie Sanders, closing out his campaign in Iowa, took a strategic gamble in hopes of notching a victory over Hillary Clinton in the state's Democratic caucuses Monday night: He went negative.

The Sanders campaign ran a new TV spot that implies Mrs. Clinton is in the pocket of Wall Street. And after refusing to talk about the Democratic front-runner's use of a private email server as secretary of state, Mr. Sanders on Sunday called her email practices a ""very serious issue"" that could render her unelectable.

Similarly, a Clinton campaign that had once ignored the 74-year-old democratic socialist is now casting him as a pie-in-the-sky dreamer whose ideas are utterly impractical.

""I don't want to over-promise and under-deliver. I'd rather under-promise and over-deliver,"" she said at a rally here. She added: ""I know what it's going to take.""

This wasn't the way many thought the Democratic primary would conclude before the balloting began.

When he jumped in the race in May, Mr. Sanders looked to many Democratic officials like a candidate who wanted a forum to talk about income inequality in America and who didn't really believe he could win. But the Vermont senator's success at raising money and attracting young voters has upended the race. The Sanders campaign announced Sunday it had raised $20 million in January alone.

On the eve of the caucuses, Iowa was up for grabs. Given the stakes, both the Clinton and Sanders campaigns are offering some sharp assessments of the opposition.

Read More on Capital Journal

Capital Journal is WSJ.com's home for Election 2016 news.

* GOP Vote in Iowa Hinges on Newcomer Turnout

* Gowdy Stumps for Rubio, but Voters Want to Talk About Benghazi

* Democratic Party Sets Stage for Thursday N.H. Debate

*

Before Caucuses, Clinton Mixes Practical With Aspirational

* In Iowa, Trump Campaign Makes Final Flourish

Assessing the new tone, Matthew Dowd, a former strategist to President George W. Bush, said: ""It's been ratcheted up. Hillary understands that if she wins Iowa, she basically begins to end the race. Bernie realizes that the whole premise of his race is contingent on winning Iowa, and he's trying to do whatever he possibly can at this point to get over the hump.""

Spotlighting a vulnerability, Mr. Sanders is making the case that Mrs. Clinton is beholden to Wall Street. Speaking to reporters at a Bloomberg Politics breakfast last week, he mentioned that Mrs. Clinton had just attended a fundraising event at a Philadelphia investment firm.

""That's how she has raised money throughout her political career,"" he said. ""Millions of dollars from Wall Street and from other very powerful special interests.""

The combative posture poses risks for Mr. Sanders--something his team acknowledges. He has pledged to usher in a more uplifting style of politics. He has said he would inspire voters and thus expand turnout on Election Day much as Barack Obama did eight years earlier.

Recognizing the potential damage to the Sanders brand, his aides say there are lines he won't cross: He won't air the classic political attack ad complete with ominous music and unflattering pictures of Mrs. Clinton.

""He's not going to go there; it's not in the cards,"" said Tad Devine, a senior Sanders campaign strategist.

So, instead, some of Mr. Sanders's ads leave it to voters to connect the dots. The latest spot features Goldman Sachs Group Inc. and its role in the 2008 financial collapse. No pictures of Mrs. Clinton's face appear in the ad; her name is never mentioned. Yet she is the star.

Mrs. Clinton and her husband have a long history of dealings with Goldman. Together, they have collected nearly $3 million in speaking fees from the company since 2005.

In the spot, a narrator says ""millions in campaign contributions and speaking fees"" enabled Wall Street firms to engage in reckless practices.

In an interview with NBC News over the weekend, Mrs. Clinton said her opponent's method is to discredit her through ""insinuation and implication.""

""That's disappointing,"" she added, ""because he's always prided himself on being a candidate, a politician--he's been in politics a really long time--not to go negative.""

As the campaign unfolds Mr. Sanders has flashed increasing irritation at some of the criticism lodged by Team Clinton. Clinton allies have said that Mr. Sanders's socialist views would be exploited by Republicans in a general election.

On Sunday, Mr. Sanders tried to turn the tables. Asked by ABC News if he would get ""slapped"" with the socialist label should he win the party's nomination, he pointed to recent disclosures that top secret information passed through Mrs. Clinton's private email server.

Having memorably told Mrs. Clinton in a debate in October that Americans were ""sick and tired of hearing about your damn emails,"" he said Sunday: ""Look at the front pages in terms of what Secretary Clinton is getting slapped with.""

Mrs. Clinton dismissed the latest controversy over her email as an ""interagency dispute"" that pales next to the larger issues on voters' minds.

For all the sparring, both campaigns are also taking pains to put out a positive message. But their core arguments are very different.

Mrs. Clinton says that her strength is persevering in the face of setbacks. A biographical video that plays for crowds ahead of her appearances ends with Mrs. Clinton saying, ""I don't quit""--a theme of her campaign since it launched last April. She says she has the experience and stamina to both accomplish her goals and beat the Republican nominee this fall.

Mr. Sanders is laying out a broader vision of a country that seeks to overturn a political system that favors the richest Americans. He is calling for a bottom-up ""revolution"" that will compel Washington officials to act in the interests of a struggling middle class.

A huge rally he held Saturday in the college town of Iowa City captured the campaign's mood. As he finished his remarks, the rock band Vampire Weekend took the stage and invoked an optimistic spirit of America at its best. The band played Woody Guthrie's ""This Land is Your Land,"" and were joined by Mr. Sanders and his wife, Jane, who, together with the crowd sang along: ""From the redwood forests to the Gulf Stream waters, this land was made for you and me.""

Colleen McCain Nelson contributed to this article.

Write to Peter Nicholas at peter.nicholas@wsj.com and Laura Meckler at laura.meckler@wsj.com

Credit: By Peter Nicholas and Laura Meckler",2/2/16

"Hillary and Bernie Recall LBJ More Than JFK; JFK is remembered primarily for his tragic death, not for his too-brief push for lower-tax, pro-growth, supply-side economic policies.",http://ezproxy.library.nyu.edu:2048/login?url=http://search.proquest.com/docview/1762157283?accountid=12768,"Regarding Edward P. Lazear's ""If Only Hillary and Bernie Would Recall JFK "" (op-ed, Jan. 29): While it is true that individual Americans migrate among all five annual income quintiles, all boats don't move up and down by the same amount in a rising tide.

Regarding Bernie Sanders and Hillary Clinton, the questions for America include whether they want to limit boating or add a ton of freight to some people's boats, and not allow other vessels to sail during any tide. President John F. Kennedy understood incentives. He understood, 20-plus years before the Laffer curve, that if you want more of something, tax it less. Americans may not be able to handle a president with policies that mandate some boats get torpedoed, while others are allowed to sail on subsidized biofuel.

Michael J. Perullo, CPA

Atlanta

Mr. Lazear claims President Kennedy believed ""a rising tide lifts all boats."" However, that was only until JFK read ""The Other America,"" Michael Harrington's 1962 exposé of the millions of Americans left behind as the country prospered in the post-World War II boom. Afterward, Kennedy immediately directed his Council of Economic Advisers to look into the issue of poverty in America. Chairman Walter Heller and the council concluded that, in fact, a rising tide doesn't lift all boats.

Records show that poverty was one of the last things JFK focused on before his assassination, and that he wanted to make it central to his 1964 legislative agenda. Lyndon Johnson took up this charge and launched the War on Poverty, designed to be a hand up--not a handout--and lift people out of poverty.

Class warfare isn't the answer, but it's about time to realize that it takes a lot more than tax cuts and other incentives for the so-called ""job creators"" to lift today's 50 million Americans out of poverty and revitalize the country's struggling middle class. Now, if only Hillary and Bernie would recall LBJ.

Tyler Ross

Chicago

It is a testament to Democratic and media image-making that JFK is remembered primarily for his ""Camelot"" White House and his tragic death, not for his too-brief push for lower-tax, pro-growth, supply-side economic policies. The one stain on JFK's thousand days in the White House was his support of a disastrous attempt to overturn Fidel Castro's revolution in Cuba. That failure allowed the Castro brothers to show what happens to an economy that is built on class warfare rather than growth. Many leftist American admirers of Castro are flocking to Cuba before capitalists start renovating the dilapidated buildings in Havana and destroy its 1950s ambience. Cuba's economy needs to cross the bridge to the 1960s before making any leap into the 21st century.

Why can't we learn that class war is economic hell for all classes?

William Hogan

Savannah, Ga.

President Kennedy also said, ""Ask not what your country can do for you--ask what you can do for your country.""

The Democratic Party message of 2008, ever more strident now, is: ""The government will see that your needs are met. Someone else will pay for this, and you need not be personally responsible."" How far today's Democrats have moved from the uplifting words of JFK, and how unfortunate for our country's future.

Beverly Holland Reichel

Santa Monica, Calif.",2/3/16

Democrats Battle Over Vision for Party; Hillary Clinton's narrow win over Bernie Sanders in Iowa magnifies debate over whether party should emphasize idealism or pragmatism,http://ezproxy.library.nyu.edu:2048/login?url=http://search.proquest.com/docview/1761864169?accountid=12768,"Jennifer Levitz contributed to this article.

Hillary Clinton's razor-thin win over Sen. Bernie Sanders in Iowa is magnifying a battle among Democrats over whether they should emphasize idealism or pragmatism.

As the Democratic presidential race moved on to New Hampshire on Tuesday, both candidates signaled that they would press their cases in the ideological clash over the direction of the party.

In Keene, N.H., on Tuesday, Mr. Sanders was asked whether Mrs. Clinton is a progressive. ""Some days,"" he replied. ""Except when she announces she's a moderate. Then she's not a progressive.""

For her part, Mrs. Clinton frequently describes herself as a ""progressive who gets things done.""

On issue after issue, Mr. Sanders sees a more robust role for government than Mrs. Clinton does, and he calls for significant new taxes and programs to address what he considers unmet needs. Enacting his agenda, he says, will require a ""political revolution'' in which Americans demand change so loudly that Congress cannot ignore them.

In Mrs. Clinton's view, a more targeted and in some cases more modest approach can best solve problems. Better to find consensus on something achievable than to wage an extended battle that will only lead to gridlock.

""It is rare that we have the opportunity we do now: to have a real contest of ideas, to really think hard about what the Democratic Party stands for,"" Mrs. Clinton said Monday night in Des Moines, after the slimmest of victories in the Iowa caucuses, the opening contest in the presidential nominating season.

The debate is important for Democrats' identity and for setting the party's course on policy, as well as for its political implications.

Many Democrats fear Mr. Sanders is too liberal to win a general election, and some are concerned that Mrs. Clinton will be pressured to take left-leaning positions that could hurt her, if she wins the nomination.

Others say there is strong support for liberal policy and that these positions would help either candidate in the fall.

Final results from Iowa on Tuesday showed the former secretary of state winning 49.9% to Mr. Sanders's 49.6%, or four more state delegates out of more than 1,400 at stake. The race now moves to New Hampshire, which holds its primary this coming Tuesday.

Before then, Democrats will have two opportunities to assess their choices--on Wednesday evening at a CNN forum, and on Thursday in what will be the candidates' first one-on-one debate. Late Monday, a third candidate, former Maryland Gov. Martin O'Malley, dropped out.

When Mrs. Clinton's husband was running for president in 1992, the centrist wing of the Democratic Party was ascendant, with Democrats seeking to shed their image as tax-and-spend liberals and address middle-class concerns. As president, Bill Clinton declared that the ""era of big government"" was over. He signed a welfare overhaul, negotiated a balanced budget and focused on reducing crime, among other things.

Since the 1990s, the party has moved to the left on a swath of issues as voter anger over the financial crisis and slow recovery has swelled.

Nothing demonstrates the shift more clearly than the rise of Mr. Sanders, a political independent from Vermont who identifies himself as a democratic socialist. Some Democrats worry that the term ""socialist"" would scare off independent voters in a general election. But for many primary voters, it represents a commitment to fight for their causes.

""We love Bernie Sanders,"" said Amy Noon, 28 years old, a massage therapist in Iowa City, Iowa. ""He stands for everything we wish the country was and is not. [Mrs. Clinton] stands for everything the country already is.""

In Iowa, the party's ""very liberal'' and ""moderate'' wings were equal in size at the Democratic caucuses but had different memberships, surveys taken Monday at caucus sites showed.

Read More on Capital Journal

Capital Journal is WSJ.com's home for politics, policy and national security news.

* New Risks for Trump After Iowa Loss

