article name,article link,article text,article date
Messrs. Cruz and Trump had traded increasingly nasty barbs in the run-up to Iowa, setting up for a more bitter battle to follow. Mr. Trump has picked fights with rivals, major media organizations and party leaders in Washington, frequent skirmishes that have allowed him to dominate news coverage and drown out other Republicans with more typical resumes.

The Iowa results cement the top tier of the Republican field, and most of the contenders are expected to continue on to New Hampshire. But former Arkansas Gov. Mike Huckabee was a casualty of the Iowa caucuses, announcing on Twitter that he was withdrawing from the race.

Mr. Trump will get a chance to re-establish himself in states where polls show him up by as much as 20 percentage points--although he had led in most Iowa polls before the caucuses began.

In addition, many back-of-the-pack contenders ended 2015 with enough money to finance bare-bones campaigns through the first four nominating states in February, new campaign-finance reports suggest.

""These first four races are going to set the playoffs,"" said Stuart Stevens, the chief strategist on Mitt Romney's 2012 presidential bid. ""To advance, you need to do well in these first four.""

Republicans may have to wait until the South Carolina primary on Feb. 20 or possibly Super Tuesday on March 1 to get a clearer sense of which of the candidates have the strongest claim on the nomination.

Anger and frustration were defining features of the GOP electorate . Half described themselves as ""dissatisfied, but not angry"" about the way the federal government is working.

A somewhat smaller share said they were outright angry. And half of those Republicans who participated said they wanted the next president to be from outside the political establishment.

Big crowds flocked to caucus sites around the state, and early surveys suggested the share of first-time caucusgoers had ticked up from 2012.

Total GOP turnout topped 184,000 voters, shattering the previous record of roughly 121,000 caucusgoers. A GOP precinct in Van Meter ran out of ballots and forms to register new voters. ""We're way past capacity,"" said Bev McLinden, a local GOP official.

There were pockets of the state where Mr. Trump didn't register any support. At a caucus meeting in Pleasant Hill, none of the hundreds of Republicans in attendance rose to speak on his behalf. ""They said he had no ground game,"" said Mary Dorin, a Cruz supporter.

At a caucus in Cedar Rapids, Mr. Cruz made his own case to the assembled voters, telling them he has the money to compete late into the nominating calendar by citing his conservatism and his ability to win a general election.

Mr. Trump's improbable rise already has turned the race on its ear. The billionaire barely registered in public-opinion surveys last spring when he started making noise about a possible presidential bid, trailing by wide margins both former Florida Gov. Jeb Bush and Wisconsin Gov. Scott Walker, who dropped out of the race in September.

Mr. Trump drew his highest levels of support from caucusgoers who didn't attend college, were more moderate and, first and foremost, listed immigration as their top issue, the entrance poll showed. He also drew higher support from caucusgoers eager for an outsider.

First-time caucusgoer Rachael Schwartz, 28, the mother of an 18-month-old daughter, said she likes Mr. Trump because he is outspoken and would let people make more decisions about their lives, such as whether to vaccinate their children. ""I never paid attention to the future, and now it's important to me,"" she said. ""I believe he's for the people, and we will truly have a voice.""

Mr. Trump's often-incendiary campaign rhetoric has turned off some would-be supporters who otherwise appreciate his brash style. Valerie Martin, 36, a nurse midwife who attended the Cruz event in Jefferson, was leaning toward Mr. Trump before settling on his main rival. ""I don't know how he will be taken by other countries,"" she said.

Viability was a big lure on Monday as Republicans who planned to back other candidates decided to support one of the top-three.

Landon Myer, a quarry worker from Claire, Iowa was leaning toward Mr. Cruz, after considering Kentucky Sen. Rand Paul. ""Cruz is the only one that's going to stop Trump,"" said Mr. Myer. ""I feel a vote for Rand Paul is a wasted vote.""

Ben Kesling contributed to this article.

Write to Janet Hook at janet.hook@wsj.com

Credit: By Patrick O'Connor and Janet Hook",2/3/16

"Front-Runners Give Ground as Rivals Make Mark in Iowa; Donald Trump fell short, Hillary Clinton flirted with disaster, and their main rivals had strong nights",http://ezproxy.library.nyu.edu:2048/login?url=http://search.proquest.com/docview/1761499776?accountid=12768,"Ted Cruz did what he had to do. Donald Trump fell well short of the shock-and-awe moment he hoped would set up a blitz through the rest of the country. Marco Rubio bought himself a seat at the big table. And Hillary Clinton flirted all night with disaster.

Those were the big story lines that emerged from Iowa's caucuses Monday night. It's early--ridiculously early, actually--to draw too many conclusions. But the results suggested that a fight still lies ahead on the Democratic side, and a potentially much bigger and longer battle is ahead on the Republican one.

Perhaps most important, the Iowa results suggest that those fights will take place in two parties deeply divided between insiders and outsiders, between young and old, and between the most and least wealthy. The situation is volatile, and, as a consequence, unpredictable.

Read More on Capital Journal

Capital Journal is WSJ.com's home for Election 2016 news.

* Cruz Beats Trump in Iowa's GOP Race

* Clinton and Sanders Dig In for Long Battle

* Presidential Candidates Focus on New Hampshire

* Cruz, Rubio Shift the GOP Conversation

* Cruz's Win Powered by Evangelicals

* New Hampshire Primary Is an Unpredictable One

* Campaign-Finance Reports Portend Lengthy Battle

By late last night, it was clear that Mr. Cruz rode his strong support among evangelical conservatives to a victory. He had to do that to be a viable long-term candidate; if he couldn't charge ahead in a state where evangelical voters traditionally have an outsize influence, his candidacy would have been seriously compromised.

Mr. Trump calculated that he could make a late surge in Iowa, put away Mr. Cruz and pave the way for a big win in New Hampshire to start putting away the competition. That didn't happen. His brand has been that he is a winner; it remains to be seen what the Iowa outcome does to that brand.

On the other hand, Mr. Rubio simply needed to do well enough to establish himself as the third player in a three-handed game of high-stakes poker going forward. He did more than that--much more, in fact. He was the one candidate who significantly outperformed expectations, and that gives him the biggest dose of rocket fuel out of Iowa.

On the Democratic side, Mrs. Clinton was clinging to a narrow lead over Sen. Bernie Sanders through the night. In mathematical terms, they had fought nearly to a draw, and that carries Mr. Sanders to New Hampshire's primary strong enough to be the favorite there, next door to his home state of Vermont.

But his road is much rougher after that, as the race moves south and west to Clinton strongholds. In that sense, the key for Mrs. Clinton was simply to avoid embarrassment in Iowa.

So nothing is settled, and nothing was destined to be. Yet Iowa's importance may lie elsewhere, for the results tell us much about two parties that are in significant flux.

On the GOP side, Mr. Trump has charged in and either pulled in alongside, or consolidated behind him, the votes of nontraditional Republicans: less-educated, lower-income and deeply unhappy with the party's leaders.

Indeed, entrance polls showed that Mr. Trump won among Republicans with a high school education or less, lost among college graduates and those with post-graduate degrees. He won in rural areas, not in cities and suburbs. His widest margin of victory was among those who wanted somebody from outside the establishment.

Meanwhile, Mr. Rubio emerges looking an awful lot like the man mainstream party voters can embrace. His support was fairly even across age and demographic groups, but it bulged among Republicans whose top priority was simply finding a candidate who could win the general election in November. Among those voters, Mr. Rubio led Mr. Trump 44% to 24%.

He prevailed among voters who wanted experience in politics rather than somebody from outside the establishment. And he won among those who decided whom to support in the last few days--suggesting, at least, that Republicans agonizing about their decision decided to choose a safe bet rather than make some kind of statement.

And Mr. Cruz? He fell into a familiar Republican lane, winning among evangelicals and the party's most conservative voters. Those are voters not comfortable with Mr. Trump and not convinced of Mr. Rubio.

Among Democrats, the splits are even more vivid. They have a giant age gap: Mr. Sanders won by a huge margin among young voters, Mrs. Clinton by a wide margin among the oldest voters. They have a significant gender gap: Mrs. Clinton won by a hefty 10 percentage points among women, the entrance polls showed, while Mr. Sanders won among men by seven percentage points.

Mr. Sanders won convincingly among the lowest-income Democratic voters. Mrs. Clinton won convincingly among the highest-income Democratic voters. He won easily among very liberal voters. She won easily among moderates.

Caucuses and primaries bring out the divides, of course, but these are surprising ones in an unconventional year. And they may not close anytime soon.

Credit: By Gerald F. Seib",2/3/16

"Why Mike Bloomberg Can Win; Record numbers of voters are independents--who won't be satisfied with Clinton, Trump or Cruz.",http://ezproxy.library.nyu.edu:2048/login?url=http://search.proquest.com/docview/1762223569?accountid=12768,"As the results from the Iowa caucuses rolled in Monday, it became more clear than ever: If former New York Mayor Michael Bloomberg ran for president as an independent, he would be a serious contender for the White House. I work for Mr. Bloomberg as a pollster, and as this campaign has unfolded I have been struck by the gap between voters' concerns and how the media has portrayed them.

Talking heads say that voters are angry and polarized. This misses the mass of Americans in the middle. Only 16% of voters participated in a primary or caucus four years ago, according to the Bipartisan Policy Center. Even the strong turnout Monday--more than 180,000 Republicans and 170,000 Democrats--represents a mere fifth of the 1.6 million Iowans who voted in November 2012.

That's the new silent majority: the millions of Americans who don't participate in Democratic or Republican primaries. They are equally as fed up with the status quo, but they have a different approach to problem-solving and different policy prescriptions than those on the ideological extremes.

The bulk of the people who voted in Iowa were distinctively liberal or conservative. Of Republicans caucusgoers, only 14% said they were moderates, down one percentage point from 2012. Of the Democrats, 28% were moderates, down 12 points from 2008. It shows in the results: Half of the GOP caucusgoers supported either Ted Cruz, the most dogmatic conservative, or Donald Trump, the bombastic populist. On the Democratic side, Bernie Sanders is leading a lurch toward socialism, and Hillary Clinton is seeking to match if not exceed his leftist agenda.

Who is appealing to the center? Most Americans, the new silent majority, do not share the aims of the activist caucusgoers. The share of voters who identify as independents hit 43% last year, a new record according to Gallup . Only 26% were Republicans and 30% Democrats. Moreover, 60% of Americans told Gallup in September that the Republicans and Democrats ""do such a poor job"" representing them that they want to see a third major party emerge. That's up from 40% when the question was first asked in 2003.

Who fits the bill? Michael Bloomberg, a centrist with a clear (and arguably unique) record in business as an entrepreneur and in politics as a three-term mayor of New York. Mr. Bloomberg is a fiscally prudent conciliator who advances pro-growth policies and takes tough stands. He supports comprehensive immigration reform to strengthen the American economy, environmental protections to protect our planet for the next generation, and social policies to promote inclusiveness, public health and community safety. In short, his agenda is very different from what is being offered by Ted Cruz, Donald Trump and Marco Rubio or Bernie Sanders and Hillary Clinton.

As America becomes more polarized, the desire grows for a candidate in the center focused on building consensus and getting results. This is the hidden message of Monday's caucuses, the one that Mr. Bloomberg is contemplating as he considers a run for president.

The numbers bear this out: Shortly after the 2014 election a poll by this newspaper and NBC News showed that 63% of Americans favored compromise, not confrontation, to achieve policy goals. A majority, 52%, wanted the government to do more problem-solving. These attitudes suggest a constituency for a candidate who eschews partisanship and produces results. That's exactly what Mr. Bloomberg did in New York, and what he has advocated for 10 years in speeches on reforming the political system and fixing Washington.

A January poll by Frank Luntz--which was not commissioned by Mr. Bloomberg or me--illustrates the mayor's potential. Mr. Luntz, who advised Ross Perot's independent bid in 1992, found that 84% of voters could support a generic candidate who matches Mr. Bloomberg's profile. When asked about the former mayor by name, 55% said they would consider supporting him. That includes 57% of Democrats, 45% of Republicans, and 62% of swing voters.

In direct matchups--three-way races against Mrs. Clinton and Mr. Cruz, or Mrs. Clinton and Mr. Rubio--the poll puts Mr. Bloomberg at 28%, and the election almost within the margin of error. And that's before he has announced a candidacy or run a single ad.

In short, the Bloomberg message would be unique in a year when Republicans have moved sharply to the right, and Democrats sharply to the left. The Luntz survey shows that more than a third of voters, 35%, either have no opinion about Mr. Bloomberg or have never heard of him. That gives him huge potential for growth among voters who are disappointed and dissatisfied with the two major parties.

The past two independents to begin presidential candidacies from the center were not successful. In 1992 Mr. Perot went as high as 37% in the polls, but finished with 19% of the popular vote. In 1980 John Anderson hit the mid-20s, but then stalled and won only 7% on Election Day. But their candidacies were sunk by poor temperament, meager resources or an inability to get on the ballot. Mr. Bloomberg would have none of those problems.

Commentators have mistakenly characterized Mr. Bloomberg's mayoral tenure as exclusively focused on a relatively limited (but widely known) social and public health agenda, including laws to prevent gun violence and discourage smoking. They're missing the bigger picture. Over more than a decade in office Mr. Bloomberg governed with (and articulated) sensible alternatives on reforming taxes and government services, as well as revitalizing the economy. He kept New York safe from a terrorist attack for 12 years and stood firm with law enforcement to reduce crime by 32% and make it the safest big city in the nation.

A Bloomberg candidacy would make no effort to kowtow to the religious right or labor unions. Mr. Bloomberg would not and has never made deals with special interests. Because he has always been able to finance his campaigns himself, his independence is indisputable.

As this politically frenetic February wears on, the primary process will demonstrate to voters how divided and dysfunctional the nation has become. For Americans in the middle, a Mike Bloomberg candidacy will become more compelling by the day.

Mr. Schoen served as a pollster for President Bill Clinton and has advised Michael Bloomberg since 2001.

Credit: By Douglas E. Schoen",2/4/16

Donald Trump Among the Canaries; Trump owns persona. His opponents have to go after him on policy and substance.,http://ezproxy.library.nyu.edu:2048/login?url=http://search.proquest.com/docview/1764226934?accountid=12768,"The one reliably true thing we are witnessing in this 2016 election season is a bipartisan repudiation of Barack Obama's presidency.

When Democratic voters in Iowa and New Hampshire vote for a socialist senator because 79% of them say they are worried about the direction of the economy, the incumbent president's seven years in office takes the fall.

When Republican voters make clear that their state of angst and anger is such that they will cast their unhappy lot with Donald Trump, that reflects disgust with Barack Obama's conduct of the American presidency.

This isn't raised merely to throw sand on Mr. Obama's last year. It is more serious than that. New Hampshire's voters, all present for the Obama experience, are the canaries in the coal mines of American political life.

Just as dying canaries warned coal workers that the shaft was filling with toxic gases, New Hampshire's voters have told the political status quo, to coin a phrase, you are killing us.

Donald Trump owns the 35% of the Republican electorate that is hacked off about everything. In nearly every exit-poll category--age, ideology, the economy, terror--Mr. Trump has at least 35% secured.

What this means for the other candidates is they cannot possibly compete with Donald Trump on his terms, on display in his victory speech Tuesday, which began contained and ended semi-unhinged.

A story from the political past will illustrate. In 1958, when George Wallace, then considered something of a Southern liberal, lost the Alabama governorship to a segregationist candidate, he remarked, ""I will never be out-segged again."" Wallace became the premier angry-man populist of his era, running in four presidential races.

No one is going to out-rant Donald Trump about the state of America. Chris Christie got in as the tough-guy candidate. He's gone, unable to compete with the Marvel Comics character Donald Trump created.

Ted Cruz especially had better reflect. Mr. Cruz's path to the nomination runs through the Southern states and leans heavily on evocative rhetoric and buzzwords--primarily immigration and attacking Washington and ""them.""

But Donald Trump owns all of that, and will so long as four or five candidates are dispersing the other 65% of the GOP vote. Jeb Bush and Marco Rubio have the money and mutual animosity to go on. Ben Carson won't quit. John Kasich is talking about winning Michigan--in a month.

If Mr. Trump's persona is impermeable, the other candidates will have to go after him on substance.

Mr. Trump has been floating in an inch-deep pool of policy and shows no inclination to expand his pre-existing knowledge of anything. It will require patience and persistence, but his opponents have no choice but to start challenging the implications of what he says and criticizing it in detail.

At the core of the Trump campaign is one policy idea: imposing a 45% tariff on goods imported from China. In his shouted, red-faced victory speech Tuesday, he extended the trade offensive to Japan and Mexico.

Some detail: Combining the value of goods we sell to them and they to us, China, Mexico and Japan are the U.S's Nos. 1, 3 and 4 trading partners (Canada is No. 2). They are 35% of the U.S.'s trade activity with the world. The total annual value of what U.S. producers--and of course the workers they employ--sell to those three countries is $415 billion.

Wal-Mart has 1.4 million U.S. employees in stores filled with foreign-made consumer goods. With a 45% price increase, many won't be working for long.

Mr. Trump says the threat alone of a tariff will cause China to cave. Someone should ask: What happens if they don't cave? Incidentally, unlike Mexico, China has between 200 and 300 nuclear warheads and 2.4 million active-duty forces. Irrelevant?

He said Tuesday about drugs: ""We're going to end it at the southern border. It's gonna be over."" How?

He said: ""I am going to be the greatest jobs president that God ever created."" How?

Another campaign venue Donald Trump owns is the national debates. In New Hampshire, 67% said the debates were important to their decision, suggesting the debates are backing out retail politics. If so, the survivor candidates need a new debate strategy.

They will always finish behind Donald Trump if they let the moderators design their performances by making the debate a pinball machine, as ABC did in New Hampshire. The randomness, baiting and irrelevance (immigration, the inevitable debate whipping post is the lowest-rated issue in exit polls) make it hard for voters to shape an impression beyond persona, which Mr. Trump owns.

Iowa and New Hampshire revealed there are three GOP voting issues in the primaries: economic anxiety, Islamic terrorism and voters' emotional belief in their candidate. A competitive Trump opponent will find a way to drive those subjects--and ignore the rest--across two hours in 30 to 60-second increments.

Donald J. Trump reinvented modern media politics. Somebody has about three months to reinvent his invention.

Write to henninger@wsj.com

Credit: By Daniel Henninger",2/10/16

Bloomberg May See Opening in New Hampshire Primary Results; Victories by Bernie Sanders and Donald Trump could boost former NYC mayor's candidacy,http://ezproxy.library.nyu.edu:2048/login?url=http://search.proquest.com/docview/1764142778?accountid=12768,"Hundreds of miles from the New Hampshire presidential primary, aides to former New York City Mayor Michael Bloomberg eyed the solid victories Tuesday by Bernie Sanders and Donald Trump as potential boosts to a Bloomberg candidacy .

The results were just one more sign to Mr. Bloomberg's advisers that he may have an opening as Democrats and Republicans embraced candidates they said were unlikely to resonate with voters in a general election. Mr. Bloomberg is expected to meet with Frank Luntz, the pollster and market researcher, this week, according to a person familiar with the matter.

Steve Schmidt, a Republican strategist who served as a senior adviser to Sen. John McCain during his 2008 campaign, said the field of candidates was weak and that the former mayor could win.

""Any combination of them in a general election would open a path for an independent candidate,"" said Schmidt, who isn't advising Mr. Bloomberg. ""There's a big opening in the middle of the electorate, and Bloomberg is on point in that space.""

Bloomberg aides say they are looking far more closely at the results of Super Tuesday, on March 1, when more states will vote in the primaries and it will be easier to gauge the strength of Mrs. Clinton and others in the race.

Related

* Michael Bloomberg Mulling Run for President as Independent

* Michael Bloomberg Acknowledges He Is Weighing Presidential Bid

Yet, the biggest hurdle to a Bloomberg presidential bid may not hinge on the shifting fortunes of the other candidates, but on the former mayor's political brand. Mr. Bloomberg is a fiscally conservative technocrat with Wall Street roots, a liberal on many social issues and a gun-control advocate. He identified as a Democrat but first ran for mayor in 2001 as a Republican, and later ran as an independent.

""He would have zero chance here,"" said Matt Borges, the chairman of the Republican Party in Ohio, a swing state. Mr. Borges said he believed Mr. Bloomberg's positions on issues like gun control would be insurmountable.

Other obstacles loom. Some conservative voters, particularly in the South, have ridiculed him for his positions on guns and for a measure in New York City, later turned aside by a court, to restrict the sale of large, sugary drinks.

Mr. Bloomberg would also likely face skepticism among Democrats, both for his stout defense of big corporations and for his record on race and policing. A police tactic he embraced known as ""stop-and-frisk"" was criticized as unfairly targeting minorities and struck down in 2013 by a federal judge.

Advisers to Mr. Bloomberg said those handicaps could be overcome. One aide broke down Mr. Bloomberg's appeal to voters this way: a political outsider unbeholden to party machinery; private-sector success running Bloomberg LP, his data and media company; three-term mayor of New York, credited with revitalizing the nation's most populous city and driving down crime.

""There is a degree of polarization, division and I daresay lack of focus on the major issues facing the country that is exemplified by the entire primary process to date. Including but not limited to New Hampshire,"" said Douglas E. Schoen, a longtime Bloomberg adviser who has conducted polls for the former mayor.

Mr. Bloomberg has other advantages. He is worth more than $30 billion and has signaled he is ready to spend. One of his top political aides, Howard Wolfson, served as communications director for Hillary Clinton's 2008 campaign. He has a stable of loyal aides ready to jump in.

The campaign trail could be an awkward place for Mr. Bloomberg, who frequently grew irritated with the New York City press corps for asking personal questions about his life, including his weekend travels to his vacation homes. He isn't a natural campaigner, though his aides noted he grew increasingly easy on the trail as the years passed.

""He was used to business groups, marketing professionals--the political media was a very different kind of thing,"" said Bill Cunningham, a former aide to Mr. Bloomberg.

A third-party candidate has never succeeded at winning the presidency, though they have shaped the contests, with Ralph Nader in 2000 being the most recent example. Entering the race late, Mr. Bloomberg would face challenges getting on state ballots and building campaign machinery in every state.

James McCann, a professor of political science at Purdue University and an expert on third-party candidacies, said Mr. Bloomberg faced an uphill battle. ""It still is difficult to come in from out of the blue and get the traction you need, even when things are really seemingly divisive and there's a great deal of disenchantment, even when you're a billionaire.""

Write to Mara Gay at mara.gay@wsj.com

Credit: By Mara Gay and Josh Dawsey",2/10/16

Bloomberg May See Opening in New Hampshire Primary Results; Victories by Bernie Sanders and Donald Trump could boost former NYC mayor's candidacy,http://ezproxy.library.nyu.edu:2048/login?url=http://search.proquest.com/docview/1764229421?accountid=12768,"Far from the New Hampshire primary, aides to former New York City Mayor Michael Bloomberg eyed the solid victories Tuesday by Bernie Sanders and Donald Trump as potential boosts to a Bloomberg candidacy .

The results, Bloomberg advisers said, were a fresh sign he may have an opening, as Democrats and Republicans embraced candidates the aides said were unlikely to resonate with voters in a general election.

Steve Schmidt, a Republican strategist who served as a senior adviser to Sen. John McCain during his 2008 campaign, said the field of candidates was weak and that the former mayor could win.

""Any combination of them in a general election would open a path for an independent candidate,"" said Mr. Schmidt, who isn't advising Mr. Bloomberg. ""There's a big opening in the middle of the electorate, and Bloomberg is on point in that space.""

Bloomberg aides say they are looking far more closely at the results of Super Tuesday, on March 1, when more states will vote in the primaries and it will be easier to gauge the strength of Hillary Clinton and others in the race.

Related

* Michael Bloomberg Mulling Run for President as Independent

* Michael Bloomberg Acknowledges He Is Weighing Presidential Bid

But the biggest hurdle to a Bloomberg bid may not hinge on the shifting fortunes of the other candidates, but on the former mayor's political brand. Mr. Bloomberg is a fiscally conservative technocrat with Wall Street roots, a liberal on many social issues, and a gun-control advocate. He identified as a Democrat but ran for mayor in 2001 as a Republican, and later as an independent.

""He would have zero chance here,"" said Matt Borges, the chairman of the Republican Party in Ohio, a swing state. Mr. Borges said he believed Mr. Bloomberg's positions on issues like gun control would be insurmountable.

Other obstacles loom. Some conservative voters, particularly in the South, have criticized him for his positions on guns and for a measure in New York City, later turned aside by a court, to curb the sale of large, sugary drinks.

Mr. Bloomberg would also likely face skepticism among Democrats, for his defense of big corporations and his record on race and policing. A police tactic he embraced known as ""stop-and-frisk"" was seen as unfairly targeting minorities and its use by the city was ruled unconstitutional in 2013 by a federal judge.

Bloomberg aides said those handicaps could be overcome. One aide broke down Mr. Bloomberg's appeal this way: he is a political outsider unbeholden to party machinery; he has had private-sector success running Bloomberg LP, his data and media company; and he is a three-term mayor credited with revitalizing the nation's most populous city and driving down crime.

""There is a degree of polarization, division and I daresay lack of focus on the major issues facing the country that is exemplified by the entire primary process to date. Including but not limited to New Hampshire,"" said Douglas E. Schoen, a longtime Bloomberg adviser who has conducted polls for the ex-mayor recently.

Mr. Bloomberg has other potential advantages. He is worth more than $30 billion and has signaled he is ready to spend. One of his top political aides, Howard Wolfson, served as communications director for Mrs. Clinton's 2008 campaign. He has a stable of loyal aides ready to jump in.

The campaign trail could be awkward for Mr. Bloomberg, who frequently grew irritated with the New York City press corps for asking personal questions about his life, including his weekend travels to his vacation homes. He isn't a natural campaigner, though his aides said he grew increasingly easy on the trail as the years passed. ""He was used to business groups, marketing professionals--the political media was a very different kind of thing,"" said Bill Cunningham, a former aide.

A third-party candidate has never succeeded in winning the presidency, though they have shaped contests, Ralph Nader in 2000 being the most recent example. Entering the race late, Mr. Bloomberg would face challenges getting on ballots and building campaign machinery in each state.

James McCann, a political- science professor at Purdue University who studies third-party bids, said Mr. Bloomberg faces an uphill battle. ""It still is difficult to come in from out of the blue and get the traction you need, even when things are really seemingly divisive and there's a great deal of disenchantment, even when you're a billionaire,"" he said.

Write to Mara Gay at mara.gay@wsj.com

Credit: By Mara Gay and Josh Dawsey",2/11/16

"Bernie Sanders and the Victims of Socialism; Plus, how to explain Trump's appeal among evangelicals?",http://ezproxy.library.nyu.edu:2048/login?url=http://search.proquest.com/docview/1765565285?accountid=12768,"Joseph Epstein marvels at the way Bernie Sanders has caught on with young voters. ""Does this generation that has grown up with a greater sense of entitlement and protection than any other in history really want the revolution Mr. Sanders is selling ? Can they have so little sense of the past not to know that the promise of socialism--'democratic socialism,' the senator would interject here--has ended up in gulags and brutal cultural upheaval ?""...We also feature today a 2003

observation from historian Alan Charles Kors : ""No cause, ever, in the history of all mankind, has produced more cold-blooded tyrants, more slaughtered innocents, and more orphans than socialism with power .""

Meanwhile the Journal's William Galston marvels at how Donald Trump continues to receive support from evangelical Christians, given that his ""conversion to social conservatism is of recent vintage and dubious reliability."" Mr. Galston has asked ""some respected evangelical intellectuals to explain this curious phenomenon. Most express baffled dismay. One offered a disturbing hypothesis: Evangelicals are terrified that everything they value is under assault , and they have concluded that only a strongman can stem the tide.""

